old_object_in_surp,new_object_in_surp,which_side_old_object_displayed
img/object_images/balloon01.jpg,img/object_images/tool12.jpg,left
img/object_images/socks01.jpg,img/object_images/paint_brush03.jpg,left
img/object_images/lock04.jpg,img/object_images/screwdriver02.jpg,right
img/object_images/couch04.jpg,img/object_images/HDD01.jpg,right
img/object_images/shoes10.jpg,img/object_images/stero01.jpg,left
img/object_images/phone02.jpg,img/object_images/bowl01.jpg,left
img/object_images/badminton01.jpg,img/object_images/tool14.jpg,right
img/object_images/helmet05.jpg,img/object_images/glasses05.jpg,right
img/object_images/laptop01.jpg,img/object_images/jacket02.jpg,right
img/object_images/tool13.jpg,img/object_images/case03.jpg,left
img/object_images/paint_brush04.jpg,img/object_images/tool15.jpg,right
img/object_images/bell03.jpg,img/object_images/dress02.jpg,right
img/object_images/Vacuum01.jpg,img/object_images/duster02.jpg,left
img/object_images/bottle10.jpg,img/object_images/Whisk02.jpg,right
img/object_images/lawn_mower01.jpg,img/object_images/WoodenWedge01.jpg,right
img/object_images/lid01.jpg,img/object_images/cup04.jpg,left
img/object_images/clip03.jpg,img/object_images/car07.jpg,left
img/object_images/razor02.jpg,img/object_images/crane01.jpg,left
img/object_images/faucet01.jpg,img/object_images/car06.jpg,left
img/object_images/jewel01.jpg,img/object_images/Canister01.jpg,left
img/object_images/video_game01.jpg,img/object_images/napkin01.jpg,right
img/object_images/car04.jpg,img/object_images/socks03.jpg,right
img/object_images/hammer02.jpg,img/object_images/belt02.jpg,right
img/object_images/headset02.jpg,img/object_images/shoes11.jpg,left
img/object_images/toy04.jpg,img/object_images/megaphone02.jpg,left
img/object_images/tennis_racket01.jpg,img/object_images/scarf02.jpg,left
img/object_images/dresser03.jpg,img/object_images/hammer04.jpg,left
img/object_images/fan05.jpg,img/object_images/gumball_machine01.jpg,left
img/object_images/lock01.jpg,img/object_images/screw01.jpg,left
img/object_images/grater01.jpg,img/object_images/Xylophone01 .jpg,right
img/object_images/binoculars03.jpg,img/object_images/Microphone01.jpg,right
img/object_images/helmet03.jpg,img/object_images/wire_stripper.jpg,left
img/object_images/Kitchen_Towel.jpg,img/object_images/bottle08.jpg,left
img/object_images/office_supplies01.jpg,img/object_images/bag05.jpg,right
img/object_images/shoes08.jpg,img/object_images/magnifying_glass01.jpg,left
img/object_images/coloring_pencil01.jpg,img/object_images/bottle03.jpg,left
img/object_images/sign02.jpg,img/object_images/blender03.jpg,right
img/object_images/jewelry09.jpg,img/object_images/dresser02.jpg,right
img/object_images/coloring_pencil02.jpg,img/object_images/Phonebox01.jpg,left
img/object_images/pitcher03.jpg,img/object_images/wagon_cart02.jpg,left
img/object_images/bow_tie02.jpg,img/object_images/clock03.jpg,right
img/object_images/watch01.jpg,img/object_images/rope01.jpg,left
img/object_images/tie01.jpg,img/object_images/flag01.jpg,right
img/object_images/pitcher09.jpg,img/object_images/guitar04.jpg,right
img/object_images/socks02.jpg,img/object_images/basket05.jpg,right
img/object_images/camera07.jpg,img/object_images/TrafficCone01.jpg,right
img/object_images/vga_port 01.jpg,img/object_images/bell01.jpg,right
img/object_images/bag06.jpg,img/object_images/tool10.jpg,left
